Country,ICQ: Independence,ICQ: Perseverance,ICQ: Respect,ICQ: Imagination,ICQ: Faith,ICQ: Obedience,ICQ: Responsibility,ICQ: Thrift,ICQ: Unselfishness,ICQ: Hard work,IIL: Work,IIL: Religion,IIL: Politics,Continents,Gdp,lognGdp
Argentina,42.4,28.5,73.6,25.8,34.7,31.6,79.6,15.9,16.4,55.5,99.0,95.5,58.7,South America,8500,9.047821442478408
Armenia,32.0,57.2,48.4,15.7,12.3,17.9,68.6,38.2,30.6,83.5,97.9,89.6,82.0,Asia,1170,7.064759027791802
Australia,52.9,36.4,80.7,26.4,21.4,29.2,66.1,18.9,39.7,35.9,98.69999999999999,96.69999999999999,66.0,Oceania,40200,10.601622274607113
Azerbaijan,59.7,47.0,59.1,13.8,18.6,24.8,65.5,59.3,16.6,77.1,98.2,86.19999999999999,47.7,Asia,1280,7.154615356913663
Bangladesh,57.0,53.4,69.2,14.2,77.7,19.0,39.4,51.5,15.7,8.1,99.2,99.0,98.30000000000001,Asia,467,6.1463292576688975
Belarus,29.8,41.4,59.7,8.5,15.0,34.9,62.3,53.5,17.5,84.0,98.0,93.6,61.8,Europe,2340,7.757906208351747
Brazil,19.8,34.6,59.7,7.7,56.7,59.1,64.7,38.7,32.2,47.4,99.19999999999999,99.2,89.3,South America,8750,9.07680897935166
Bulgaria,38.4,44.3,46.4,7.5,16.1,20.3,63.6,43.5,44.7,92.0,98.10000000000001,83.4,40.5,Europe,3810,8.245384468120747
Chile,33.9,34.4,61.1,24.3,45.6,45.8,73.8,30.5,25.5,16.8,97.0,83.4,51.0,South America,8990,9.103868127465667
China,50.1,36.3,43.0,22.1,3.3,29.3,34.5,62.2,28.2,72.7,97.7,92.1,73.1,Asia,1440,7.272398392570047
Colombia,27.1,19.5,68.3,18.9,42.3,42.7,76.9,25.1,37.3,18.0,98.5,91.2,14.200000000000001,South America,4950,8.507142855562735
Croatia,63.5,44.2,64.3,16.7,19.1,21.3,67.2,28.6,29.4,63.7,98.30000000000001,90.19999999999999,47.7,Europe,9770,9.187071745036828
El Salvador,35.6,14.0,58.8,10.4,67.0,62.4,66.9,29.8,27.8,38.4,98.0,84.1,23.0,North America,2590,7.859413154693583
Estonia,53.8,49.0,59.6,8.6,5.0,27.0,77.1,30.4,16.8,87.1,99.5,92.4,81.7,Europe,8840,9.08704215563169
Finland,56.0,44.4,82.5,23.5,11.2,28.1,87.0,29.2,18.2,14.7,99.1,98.1,94.7,Europe,35000,10.46310334047155
Georgia,50.7,36.6,54.1,10.3,31.0,22.9,67.6,31.9,19.7,81.9,97.2,91.80000000000001,27.299999999999997,Asia,1300,7.170119543449628
Hungary,44.2,62.3,63.5,12.8,17.5,30.8,85.1,41.7,28.8,33.7,96.30000000000001,85.9,44.8,Europe,9290,9.136693831807884
India,37.4,28.8,51.6,10.8,36.0,69.9,48.2,41.9,22.5,71.6,98.89999999999999,79.4,83.4,Asia,671,6.508769136971682
Japan,60.4,61.5,58.3,25.9,5.8,6.3,87.6,43.5,37.8,24.4,97.60000000000001,86.7,42.1,Asia,41900,10.643041105910228
Latvia,37.8,47.6,72.5,9.5,13.9,19.4,79.9,41.3,20.2,86.4,98.7,97.2,77.7,Europe,5860,8.675904882571059
