Country,ICQ: Independence,ICQ: Perseverance,ICQ: Respect,ICQ: Imagination,ICQ: Faith,ICQ: Obedience,ICQ: Responsibility,ICQ: Thrift,ICQ: Unselfishness,ICQ: Hard work,IIL: Family,IIL: Work,IIL: Religion,IIL: Politics,Continents,Gdp,lognGdp
Argentina,44.0,23.5,71.5,25.2,25.6,44.6,72.1,15.4,8.7,57.7,99.5,92.5,29.1,31.900000000000002,South America,9830,9.193194213141211
Australia,63.6,49.3,91.7,43.1,21.0,38.8,72.3,35.1,53.6,48.6,98.9,96.10000000000001,64.7,30.200000000000003,Oceania,51000,10.839580911706463
Brazil,28.5,31.4,64.4,26.7,55.7,56.6,77.9,28.6,40.1,61.1,98.3,79.9,38.599999999999994,47.7,South America,10200,9.230142999272362
Bulgaria,46.1,56.1,53.0,17.3,18.2,24.7,73.5,42.1,49.6,87.0,99.5,98.69999999999999,90.9,54.6,Europe,6480,8.776475789346321
Burkina Faso,31.2,27.1,69.4,19.2,68.1,70.5,38.7,47.5,39.4,80.4,98.4,79.2,49.4,22.200000000000003,Africa,541,6.293419278846481
Canada,58.1,48.7,82.6,33.7,30.4,29.9,71.8,26.7,47.0,54.1,99.10000000000001,85.6,58.7,49.0,North America,48600,10.791378809888585
Chile,40.3,44.6,79.5,25.7,39.7,51.9,82.8,39.9,31.8,27.2,98.9,90.69999999999999,72.9,20.1,South America,12300,9.417354541360508
China,69.8,24.0,64.7,25.3,2.4,13.8,67.2,61.6,30.8,83.4,97.39999999999999,85.5,16.2,48.2,Asia,3490,8.157657015196472
Colombia,33.5,20.1,84.1,17.8,47.7,59.2,82.9,48.2,53.4,19.0,99.2,90.0,51.699999999999996,28.9,South America,5910,8.684401110400144
Cyprus,46.7,44.4,70.4,17.6,42.2,49.8,77.8,39.9,43.5,45.6,99.1,87.6,80.4,33.3,Asia,32200,10.3797217315325
Egypt,26.6,22.0,70.9,10.5,89.8,67.6,77.6,27.2,51.2,57.0,98.2,98.0,93.6,73.69999999999999,Africa,2330,7.753623546559746
Ethiopia,79.2,30.5,36.1,39.1,41.3,38.9,47.2,52.5,36.2,54.5,97.60000000000001,84.80000000000001,45.0,28.3,Africa,272,5.605802066295998
Finland,69.3,64.3,86.7,37.9,12.0,32.7,90.1,26.1,30.1,14.7,97.5,92.9,40.8,47.4,Europe,49200,10.803648902480399
France,37.2,55.0,86.8,25.0,8.7,41.2,78.9,42.9,55.1,62.2,99.60000000000001,91.2,96.4,62.9,Europe,41600,10.635855446249355
Georgia,53.7,26.5,72.1,9.7,67.3,21.9,81.1,29.1,16.9,89.5,96.5,79.8,33.2,42.1,Asia,2720,7.908387159290043
Germany,77.6,64.2,74.6,39.6,9.3,15.8,85.1,48.2,6.8,26.0,98.2,97.7,97.30000000000001,48.2,Europe,41800,10.640651618512848
Ghana,37.2,43.3,70.7,17.1,72.6,81.7,44.3,19.6,33.1,79.1,99.80000000000001,99.3,95.6,39.8,Africa,1150,7.047517221357296
Great Britain,58.7,39.8,85.1,37.4,18.8,46.1,60.3,25.4,54.9,43.5,96.9,82.30000000000001,27.1,27.3,Europe,41100,10.623763400484325
Guatemala,27.0,22.2,59.0,11.2,58.4,47.4,63.9,39.4,42.7,28.9,96.60000000000001,86.3,37.7,25.0,North America,2830,7.948031990637284
Hungary,81.4,51.5,76.1,17.9,16.1,30.8,83.3,46.9,32.4,41.3,99.2,96.0,98.0,39.4,Europe,13700,9.525151111816216
India,66.9,40.7,55.8,25.4,41.3,55.9,68.0,55.4,34.2,81.3,98.9,93.3,94.30000000000001,49.5,Asia,1130,7.029972911706386
Indonesia,82.0,41.5,59.1,18.2,90.6,53.3,83.9,47.3,32.6,59.4,99.5,93.7,98.89999999999999,63.2,Asia,2750,7.919356190660617
Iran,63.1,30.3,64.5,17.6,71.4,32.4,81.1,39.2,32.5,68.8,99.2,94.8,75.2,37.0,Asia,6310,8.749890955535259
Iraq,28.9,20.8,85.2,9.1,89.9,73.3,82.9,31.6,9.4,63.4,97.5,84.9,17.3,61.400000000000006,Asia,4100,8.318742252692399
Italy,58.5,44.2,73.9,14.6,34.4,26.1,87.1,39.4,43.9,39.3,99.39999999999999,86.80000000000001,99.60000000000001,49.7,Europe,38200,10.550590794594667
Japan,80.0,67.2,74.5,30.8,5.6,5.1,90.6,52.3,50.3,32.4,99.8,91.0,46.900000000000006,54.2,Asia,45700,10.729853576882297
Jordan,42.8,30.8,74.6,17.8,84.0,64.9,59.8,25.3,56.0,42.6,100.0,93.9,95.9,46.0,Asia,3690,8.213381737034572
Malaysia,78.7,33.3,73.7,21.6,59.6,25.9,78.6,50.7,30.1,49.1,97.4,94.39999999999999,96.5,48.4,Asia,8640,9.064157861798101
Mali,42.4,24.4,59.9,23.6,59.6,52.3,45.0,44.1,33.9,72.6,99.0,97.5,84.7,46.5,Africa,675,6.51471269087253
Mexico,40.8,36.3,78.1,24.6,38.8,58.3,77.8,39.4,47.6,24.3,98.69999999999999,90.1,72.8,25.6,North America,9390,9.147400572202308
Moldova,44.9,25.2,66.5,20.8,41.6,16.8,69.6,53.2,32.3,79.4,99.4,96.8,98.4,33.3,Europe,1500,7.313220387090301
Morocco,54.8,27.3,58.6,26.2,68.2,50.9,69.0,45.0,36.6,51.0,94.0,76.6,30.2,45.4,Africa,2570,7.851661177889265
Netherlands,66.6,37.7,85.8,27.5,9.7,39.8,89.9,41.0,25.0,29.3,98.8,82.30000000000001,34.3,39.3,Europe,51400,10.847393451443256
New Zealand,53.2,48.7,82.5,35.1,14.6,24.4,63.0,33.3,38.5,41.1,99.1,92.5,32.7,58.3,Oceania,34300,10.442900633154032
Norway,90.0,42.2,91.4,54.6,8.6,28.7,89.1,14.0,19.8,12.7,98.10000000000001,94.7,75.6,28.0,Europe,91600,11.425186550662222
Peru,27.5,17.5,66.2,12.8,45.0,53.9,73.3,11.2,59.8,54.2,99.0,86.9,85.7,28.7,South America,4360,8.38022733634308
Poland,41.1,25.2,84.9,20.2,46.7,48.8,81.0,53.5,18.1,21.3,97.3,88.4,89.0,21.4,Europe,11300,9.332558004700433
Romania,29.1,30.3,58.6,18.1,62.8,17.5,68.8,53.0,23.2,83.3,97.8,79.6,46.5,34.4,Europe,8060,8.994668835500674
Russia,41.3,52.0,68.6,14.2,11.0,37.9,80.2,52.5,19.6,88.6,98.1,98.7,95.6,54.099999999999994,Europe,10500,9.259130536145614
Rwanda,25.6,58.6,63.8,18.0,37.6,78.8,54.2,24.1,50.1,83.1,98.9,89.2,65.5,21.8,Africa,482,6.1779441140506
Serbia,63.9,49.3,63.9,21.6,25.1,44.1,66.7,35.0,32.7,67.5,99.6,88.4,32.4,68.5,Europe,5210,8.558335134747413
Slovenia,83.2,63.2,75.0,16.3,16.3,31.3,73.9,40.4,38.0,33.8,97.60000000000001,92.1,42.3,15.8,Europe,24700,10.114558522616068
South Africa,58.8,32.9,77.9,15.6,56.2,46.8,54.8,36.9,30.6,70.7,99.1,91.9,90.0,47.3,Africa,7190,8.880446450715093
South Korea,67.6,44.9,56.9,41.1,21.5,13.5,90.2,72.5,11.6,72.4,98.80000000000001,87.69999999999999,38.900000000000006,28.9,Asia,20400,9.923290179832307
Spain,31.4,29.6,71.7,20.4,11.2,36.9,69.7,18.9,33.5,62.6,98.89999999999999,91.9,29.2,62.6,Europe,32500,10.388995368317829
Sweden,77.4,48.7,93.6,57.1,6.1,15.6,91.4,38.3,34.9,10.6,98.2,91.9,45.4,56.4,Europe,53400,10.885566024948286
Switzerland,77.7,72.4,91.7,48.1,12.6,18.4,90.5,23.3,14.3,20.3,99.0,91.4,93.7,73.3,Europe,75100,11.226575837752225
Thailand,48.2,46.2,58.0,28.5,29.5,53.8,60.6,57.7,31.0,22.9,99.8,86.5,91.19999999999999,37.2,Asia,4740,8.463792414689122
Trinidad and Tobago,54.8,26.1,82.2,6.3,68.9,72.3,58.1,32.3,23.7,63.9,97.5,77.80000000000001,55.0,38.4,North America,16600,9.717157974344635
Turkey,39.2,36.7,70.1,22.3,42.2,45.8,74.9,38.9,31.3,78.8,99.8,84.9,99.5,37.3,Asia,10600,9.268609280100158
Ukraine,28.1,48.5,56.1,28.0,15.6,49.9,65.5,40.8,13.2,76.8,99.10000000000001,79.2,71.1,50.7,Europe,3220,8.077136638538454
United States,53.8,40.2,78.3,31.7,50.6,28.3,72.2,29.9,37.6,61.7,99.10000000000001,97.2,94.8,45.3,North America,50000,10.819778284410283
Uruguay,49.2,39.0,81.7,32.2,18.2,38.5,79.5,23.0,61.2,22.3,99.3,92.0,45.6,33.5,South America,10000,9.210340371976184
Vietnam,59.3,62.5,50.4,16.4,6.1,32.0,75.3,59.9,33.4,88.9,97.80000000000001,92.0,91.89999999999999,53.0,Asia,1140,7.038783541388542
Zambia,54.7,38.4,57.9,20.3,60.9,67.8,52.5,23.5,37.7,81.1,98.3,70.8,40.099999999999994,40.2,Africa,1230,7.114769448366463
