Country,ICQ: Responsibility,ICQ: Unselfishness,ICQ: Fatih,ICQ: Thrift,ICQ: Perseverance,ICQ: Imagination,ICQ: Hard word,ICQ: Independence,ICQ: Self expression,ICQ: Respect,IIL: Family,IIL: Work,IIL: Religion,IIL: Politics,Continents,Gdp,lognGdp
Algeria,56.3,34.3,64.7,31.2,35.2,23.4,59.5,31.2,17.8,61.4,97.3,86.9,97.4,39.2,Africa,4600,8.433811582477187
Argentina,57.3,42.3,23.2,13.4,25.1,31.4,40.6,44.1,14.8,58.2,99.10000000000001,83.3,69.19999999999999,25.4,South America,10700,9.277999020449997
Armenia,79.6,24.1,38.1,28.5,32.8,6.1,81.9,28.0,19.7,56.3,99.10000000000001,87.2,56.2,30.7,Asia,3710,8.21878715560148
Australia,65.9,49.2,15.2,30.7,50.3,39.8,59.1,65.0,36.3,86.3,98.6,81.6,31.1,43.3,Oceania,54000,10.896739325546411
Azerbaijan,79.2,21.7,19.4,52.8,39.7,13.3,74.0,58.5,53.6,71.7,99.10000000000001,93.2,89.3,33.0,Asia,6080,8.712759974960212
Belarus,80.6,13.9,14.4,55.0,35.1,12.1,87.6,38.6,29.8,60.7,98.7,97.80000000000001,89.4,41.3,Europe,6560,8.788745881938135
Brazil,77.9,31.5,49.8,26.6,28.2,24.4,64.1,37.6,9.0,64.2,98.0,77.6,48.0,31.1,South America,11900,9.38429367909962
Chile,76.9,42.7,27.5,36.4,53.6,22.2,30.5,49.2,36.4,82.0,98.8,88.8,58.900000000000006,22.1,South America,14600,9.588776807696428
China,65.9,29.2,1.2,50.7,26.0,17.0,75.3,69.7,10.5,52.2,98.5,79.6,10.6,38.7,Asia,5720,8.651724084373843
Colombia,82.0,45.8,60.3,29.4,24.3,20.8,13.6,36.4,31.5,86.4,99.5,98.4,85.4,24.5,South America,7050,8.860782895806315
Cyprus,80.7,36.0,37.4,30.6,41.0,23.4,40.8,43.1,39.3,69.7,99.4,92.0,79.9,37.5,Asia,27100,10.207289006867793
Ecuador,75.0,54.1,49.0,47.3,25.4,25.1,44.3,37.4,12.6,67.7,99.6,95.8,87.89999999999999,47.2,South America,5310,8.577347114235984
Egypt,59.2,29.2,83.4,22.5,17.8,6.2,50.4,80.2,20.6,62.3,97.8,82.3,25.299999999999997,28.8,Africa,2590,7.859413154693583
Estonia,88.4,42.5,18.8,77.0,69.4,36.8,87.5,54.5,62.9,84.5,99.9,88.69999999999999,97.0,45.0,Europe,16900,9.735068900911164
Georgia,87.7,14.6,63.6,24.6,24.7,9.2,91.3,61.6,12.2,67.4,99.3,84.3,96.9,50.2,Asia,3630,8.196987927258897
Germany,80.9,5.9,12.1,38.1,59.6,29.5,17.9,73.5,39.2,66.7,95.5,79.9,38.0,44.300000000000004,Europe,44400,10.700994748420316
Ghana,34.9,24.6,70.6,24.4,45.9,12.0,85.5,28.8,23.2,66.1,98.60000000000001,98.7,98.5,48.0,Africa,1630,7.396335293800808
Haiti,34.7,67.7,12.3,3.8,31.5,9.9,78.4,16.8,5.3,43.8,97.2,92.2,75.4,48.599999999999994,North America,718,6.576469569048224
India,90.5,81.1,83.1,85.7,84.7,69.2,94.6,89.9,73.5,89.3,99.2,94.1,91.3,43.2,Asia,1550,7.346010209913293
Iraq,70.3,34.0,75.0,27.4,22.2,15.3,57.8,36.8,12.6,74.2,99.30000000000001,90.8,97.5,42.099999999999994,Asia,5390,8.592300663903043
Japan,87.3,45.1,4.4,47.8,67.8,31.6,35.1,67.7,33.6,64.6,97.6,84.2,19.0,66.1,Asia,46200,10.74073507706983
Jordan,73.1,36.5,79.8,27.9,27.4,14.8,39.5,43.6,24.6,76.5,99.4,85.0,55.0,44.9,Asia,3400,8.131530710604252
Kazakhstan,75.0,29.7,10.0,52.8,44.7,12.4,84.7,43.7,28.6,60.0,99.8,86.8,99.5,40.0,Asia,10400,9.249561085129464
Kuwait,60.3,39.0,73.8,36.5,28.4,28.0,51.3,41.8,29.4,67.8,98.89999999999999,90.6,54.2,55.2,Asia,37900,10.542706391070517
Lebanon,51.7,28.7,33.6,24.5,30.8,18.7,39.8,32.3,23.1,46.9,99.6,93.30000000000001,84.8,57.2,Asia,7750,8.955448122347393
Libya,71.8,35.3,79.1,29.8,25.2,12.2,41.4,38.4,22.5,80.0,87.0,82.7,77.0,46.6,Africa,8820,9.084777149000837
Malaysia,64.9,30.6,63.8,60.4,40.1,24.4,43.6,71.7,10.7,74.6,99.30000000000001,88.9,97.9,57.099999999999994,Asia,9980,9.20833836930551
Mexico,74.9,43.5,35.3,34.5,27.0,23.8,38.0,38.5,18.6,77.9,99.60000000000001,95.89999999999999,96.8,52.3,North America,9400,9.148464968258095
Morocco,63.8,25.3,77.6,23.8,19.2,23.9,67.1,43.0,29.7,56.6,99.3,95.5,83.9,45.0,Africa,3080,8.03268487596762
Netherlands,90.8,22.9,13.9,47.5,37.1,20.0,31.3,60.7,23.0,86.0,99.2,95.2,98.7,15.5,Europe,50000,10.819778284410283
New Zealand,56.1,36.6,15.9,33.4,48.5,36.3,50.2,53.5,32.1,83.1,94.3,78.6,25.2,39.8,Oceania,35400,10.474467099121865
Nigeria,42.6,31.7,72.7,19.1,36.9,15.1,78.0,38.9,22.8,59.8,97.80000000000001,81.1,36.099999999999994,47.0,Africa,2480,7.8160138391590275
Pakistan,62.3,36.6,72.8,42.4,35.9,31.2,55.7,43.1,16.7,52.8,99.7,93.1,97.5,49.1,Asia,1080,6.984716320118266
Palestine,68.6,34.6,76.2,37.4,20.0,18.4,43.0,42.9,25.3,70.3,99.6,90.1,97.5,36.9,Asia,2520,7.832014180505469
Peru,71.3,38.6,42.1,23.8,23.4,16.7,16.5,33.3,22.9,67.6,99.39999999999999,94.69999999999999,80.2,33.9,South America,5770,8.660427359502146
Philippines,67.2,31.8,59.8,41.9,29.9,14.0,69.5,65.0,11.5,62.3,99.89999999999999,98.0,98.10000000000001,63.7,Asia,2400,7.783224016336037
Poland,81.0,15.1,39.5,49.5,19.3,16.8,17.9,43.4,41.0,82.6,98.5,89.2,79.6,32.8,Europe,13600,9.517825071724143
Qatar,75.6,32.5,84.7,25.2,18.1,12.4,48.9,34.3,19.6,76.9,99.8,94.4,99.80000000000001,67.1,Asia,68900,11.14041145700175
Romania,70.4,12.6,51.7,39.4,29.9,32.7,77.3,42.2,29.0,65.2,98.6,90.19999999999999,83.8,22.7,Europe,8920,9.096051225574055
Russia,77.5,22.6,13.9,50.3,45.4,16.5,84.5,37.8,32.1,63.5,97.7,74.3,41.8,27.1,Europe,11800,9.375854810453756
Rwanda,72.0,52.0,42.2,41.9,35.4,33.3,69.2,30.3,8.7,56.4,98.9,88.5,72.3,58.4,Africa,641,6.46302945692067
Singapore,69.7,26.0,26.2,47.4,44.3,18.8,60.8,72.1,13.7,54.1,99.1,83.0,76.7,53.8,Asia,50900,10.837618202538614
Slovenia,83.1,44.2,23.4,54.6,65.2,26.2,50.9,88.0,48.8,81.2,98.8,88.19999999999999,32.9,11.9,Europe,22600,10.025705185260378
South Africa,57.4,27.8,44.3,30.4,35.3,28.1,70.2,63.5,24.4,52.5,98.5,80.1,83.9,45.599999999999994,Africa,7550,8.92930284224307
South Korea,87.8,10.5,25.0,65.1,54.5,14.5,64.3,57.8,49.9,40.8,99.5,97.2,95.6,46.2,Asia,23700,10.073230327123223
Spain,78.6,35.0,10.6,29.6,37.5,24.8,66.6,43.1,8.3,74.1,99.5,84.7,32.0,21.700000000000003,Europe,29000,10.275051108968611
Sweden,82.5,30.4,4.4,38.6,33.6,46.7,13.8,70.3,37.6,87.0,98.2,84.9,26.200000000000003,62.599999999999994,Europe,52700,10.872370734529454
